Approved symbol	Ensembl ID(supplied by Ensembl)
AD2~withdrawn	
RPS12P9	
RNU7-83P	
TRV-CAC11-2	
HAVCR1P2	
C17orf33~withdrawn	
OR5D12P~withdrawn	
PIRC45	
EDDR1~withdrawn	
IMPT1~withdrawn	
MXRA4~withdrawn	
ZNF381P~withdrawn	
C20orf25~withdrawn	
MIR9851	
RNU105A~withdrawn	
RPL23P1~withdrawn	
SPG2~withdrawn	
ZNF110~withdrawn	
PROX1-IT1~withdrawn	
PLXN6~withdrawn	
ALFN1~withdrawn	
PRKM8IPL~withdrawn	
PP1P	
RN7SL511P~withdrawn	
SPG3B	
RPS26P33	
SRBC~withdrawn	
RPS24P9	
RPL17P14	
CYP2B~withdrawn	
UMLILO	
RPS15P3	
SNORD75	
EPVE6AP~withdrawn	
TRC-GCA16-1	
RPS3AP16	
RPS3AP8	
TRA-TGC9-1	
CDX3~withdrawn	
PIRC25	
C20orf145~withdrawn	
PRCA1~withdrawn	
RN7SL579P~withdrawn	
MIR9985	
DPDE3~withdrawn	
OR1E7~withdrawn	
RAP1GN1~withdrawn	
PUAB4~withdrawn	
TCRBV10O~withdrawn	
CLI~withdrawn	
PMPS~withdrawn	
MLA1~withdrawn	
PBCRA1	
ERVW-17	
MRX21~withdrawn	
OR7E71P~withdrawn	
TRE-CTC1-4	
RN7SL103P~withdrawn	
MRXS7	
CYP3A5P2~withdrawn	
CATR1	
SLC7A14-AS1	
STMY3~withdrawn	
CFAG~withdrawn	
NPMP6~withdrawn	
ZNF130~withdrawn	
RPL26P25	
PCAT29	
PAX6-AS1	
BFT~withdrawn	
HOX3F~withdrawn	
RPL6P10	
TRR-CCG1-3	
BTF3P16	
CYP4F59P	
MRT28	
DNM1P25	
MTATP6P12	
RASGEF2~withdrawn	
PIRC72	
C20orf192~withdrawn	
DLTA~withdrawn	
MIR12116	
LINC00875~withdrawn	
OR1E5~withdrawn	
ZNF152~withdrawn	
RPL36P12	
NPM1P15~withdrawn	
UBAC2-IT1~withdrawn	
ERVK9-7	
MFS2~withdrawn	
GLC3A~withdrawn	
C6orf200~withdrawn	
RN7SL747P~withdrawn	
ENUR2	
TRIC5~withdrawn	
TPSP3~withdrawn	
RPL18AP10	
GLC1B	
RPL37P12	
ITFG2-AS1	
LINC00268-2P	
COPS8P1	
TRA-AGC21-1	
ANKRD20A20P	
RPL27P2	
RPS17P10	
RPS2P40	
RPS24P19	
C20orf153~withdrawn	
GLC1P	
GPRK7~withdrawn	
MIR12120	
SPG43~withdrawn	
ELANH2~withdrawn	
C21orf124~withdrawn	
MRX36~withdrawn	
ILCF~withdrawn	
WHSC1L1P~withdrawn	
KPNA3-IT1~withdrawn	
AA~withdrawn	
ZNF247~withdrawn	
RN7SL94P~withdrawn	
MRX61	
RN7SL84P~withdrawn	
DFNA30	
SUP45L4~withdrawn	
LRE3~withdrawn	
RPS3AP51	
MTCO1P33	
NUP50P2	
DFNB85	
TRD-GTC3-1	
RPL31P26	
PIRC44	
RAB8IPL1~withdrawn	
NHE1~withdrawn	
SCOD1~withdrawn	
PEG3-AS1	
ZNF11A~withdrawn	
PADI5~withdrawn	
DLB1~withdrawn	
MTLSP	
ANP~withdrawn	
SPG1~withdrawn	
FLYWCH1L1~withdrawn	
TCRGV10~withdrawn	
MEP1AP2	
RNU1P1~withdrawn	
TRNAR13~withdrawn	
FRA1H	
OR10D6P~withdrawn	
PRKA2~withdrawn	
TRN-GTT16-5	
DNM1DN20~withdrawn	
RN7SL61P~withdrawn	
NYS2	
RNU7-168P~withdrawn	
LINC02671	
DFNB12~withdrawn	
RPL35AP16	
ILA~withdrawn	
RPL39P22	
ERVH-3	
RPL21P25	
NOTCH2NLR	
NPM1P20	
MRT25	
TRV-CAC5-1	
RPL32P11	
G6PT3~withdrawn	
ORNT1~withdrawn	
RPS8P9	
PIRC19	
OR3A6~withdrawn	
CGM2~withdrawn	
SNAR-E	
ZDHHC10~withdrawn	
ZNF448~withdrawn	
ST15~withdrawn	
GUK2	
PSG13~withdrawn	
ACC~withdrawn	
HHC3~withdrawn	
OR2H3~withdrawn	
TCRGV4~withdrawn	
VN2R5P~withdrawn	
EPR1~withdrawn	
FRA3A	
KROX20~withdrawn	
SNRPNL1~withdrawn	
HCP5P2~withdrawn	
EMWX	
HNP36~withdrawn	
RN7SL450P~withdrawn	
IBD7	
UBE2CP5	
TXGP1~withdrawn	
RPL35AP29	
RPS18P7	
TRUND-NNN7-1	
RPL18AP6	
CILD2~withdrawn	
RSL24D1P7	
OR1Q3~withdrawn	
TRG-GCC1-2	
MBS2	
TRN-GTT2-1	
CACNL1A3~withdrawn	
OPN~withdrawn	
FABP5P8	
CASB~withdrawn	
LINC01012	
GPXP3~withdrawn	
SNORA115	
MRX46~withdrawn	
TRK-CTT14-1	
DGCR13~withdrawn	
LGMD1F~withdrawn	
ARSC2	
HLA-DXB~withdrawn	
DFNB76~withdrawn	
PYHG9~withdrawn	
NCRUPAR	
NPM1P16~withdrawn	
ADAM12-OT1~withdrawn	
FRA6A	
OR51C3P~withdrawn	
TRV-CAC3-1	
FRV2~withdrawn	
RN7SL360P~withdrawn	
MRT8	
MOX44~withdrawn	
RPS15P2~withdrawn	
MRT11	
TRK-CTT7-1	
RPS15P7	
FKHL9~withdrawn	
DI~withdrawn	
RPS15AP31	
NFIXL4~withdrawn	
HSPD1P20	
OR2AF2P~withdrawn	
SUMO1P5	
RPL36AP5	
MIR924HG	
TRI-AAT5-4	
TRR-CCG2-1	
CDC27P6	
CACNLB2~withdrawn	
RPL9P4	
TJP1P1	
SNX18P20	
RPS17P7	
MAGE7~withdrawn	
VN2R21P	
ATPSB~withdrawn	
GALNR~withdrawn	
OR7E70P~withdrawn	
XAGE1C~withdrawn	
DFNA45	
PEPE	
CYP2C10~withdrawn	
DURS2~withdrawn	
HEP10~withdrawn	
IGKV3~withdrawn	
FABP11~withdrawn	
C14orf181~withdrawn	
STMY1~withdrawn	
FRA7H	
OR7E131P~withdrawn	
HPE4~withdrawn	
IFNB3~withdrawn	
RN7SL281P~withdrawn	
GMFA	
MRT23	
RNU7-150P~withdrawn	
MS	
DFNB38	
TNFR1~withdrawn	
C16orf31~withdrawn	
VRF~withdrawn	
CMT2A~withdrawn	
C10orf93~withdrawn	
DGCR12	
LINC02652	
IGHD@~withdrawn	
RBMXP3	
UBE2E4P	
SCA23~withdrawn	
TRA-CGC1-1	
CEND1P2	
ACTG1P6	
RPS6P9	
LINC01461	
MAGE6~withdrawn	
LINC02623	
ERF1~withdrawn	
ODT1~withdrawn	
OR7E3P~withdrawn	
KIAA1794~withdrawn	
SPANX~withdrawn	
HEN2~withdrawn	
OPD2~withdrawn	
OR4D4P~withdrawn	
RNU7-135P~withdrawn	
LENG6~withdrawn	
FRA16D	
OR1R2P~withdrawn	
ACH~withdrawn	
GRH~withdrawn	
TRR-CCT8-1	
C21orf32~withdrawn	
BMIQ1	
OR2N1P	
TGIF2P3~withdrawn	
C10orf131~withdrawn	
E11S	
MTND6P27	
RPS26P57	
RPS26P18	
PORC~withdrawn	
ARHGAP27P1	
TRI-AAT5-2	
HCG4P3	
ST13P17	
MTND4LP8	
CYP4F31P	
RPL21P82	
RPL31P30	
RPL15P15	
IPW	
VEGFD~withdrawn	
LINC02629	
CRYG8~withdrawn	
HGL~withdrawn	
RNS3~withdrawn	
OA1~withdrawn	
HMS1~withdrawn	
TRE-TTC3-1	
RNU6-1033P~withdrawn	
NCRNA00104~withdrawn	
FRAXE	
OR52M4~withdrawn	
MDF1~withdrawn	
RNU6-423P~withdrawn	
TKCR	
TRP-CGG1-2	
CLAM	
DNL1~withdrawn	
NOT2~withdrawn	
PAWRP2	
ATP6V1G1P1	
ERVK3-3	
TRN-GTT12-1	
MTCO2P10	
TRG-TCC2-6	
RPL10AP12	
ZNT4~withdrawn	
RPS26P50	
CSBP1~withdrawn	
CACNL2A~withdrawn	
RNA18SN2	
LMX1~withdrawn	
LYAM1~withdrawn	
ZNF539~withdrawn	
TAS2R23~withdrawn	
DFNB67~withdrawn	
C17orf15~withdrawn	
DDX7~withdrawn	
CEPO~withdrawn	
ERVH-9	
RPL29P18	
ZNF119~withdrawn	
TRE-TTC16-1	
CD28LG1~withdrawn	
RNU6-846P~withdrawn	
SCZD1	
LINC01372	
SCA26	
NBP1~withdrawn	
C6orf193~withdrawn	
ATP5MC1P2	
LINC02203	
TRC-GCA9-4	
TRE-TTC2-1	
RPL21P46	
PPIGP1	
HDLDT1~withdrawn	
ZNF310P~withdrawn	
ACHRG~withdrawn	
LINC00422~withdrawn	
C8orf66~withdrawn	
ANT2~withdrawn	
C15orf49~withdrawn	
RN7SL599P~withdrawn	
HVEB~withdrawn	
NOL2~withdrawn	
IGHV3-30-3	
RPL21P72	
TRC-GCA17-1	
RNU6-1063P~withdrawn	
HPFH2	
AUF1~withdrawn	
SHFD2~withdrawn	
OR2T9~withdrawn	
MRX86	
HCP5B	
DRD1L2~withdrawn	
RP3~withdrawn	
RPL27P10	
RPL29P31	
MRX68~withdrawn	
ARF4P5	
KRTAP18-9~withdrawn	
HULC	
TRE-CTC2-1	
FAM8A5P	
MRPS21P4	
TRY-GTA9-1	
RPS2P9	
TRK-CTT15-1	
MSS~withdrawn	
RPS2P51	
CDK8P1	
CGM16~withdrawn	
RPL24P5	
NDUFS5P7	
TITF2~withdrawn	
HOX1G~withdrawn	
MIR1259~withdrawn	
HOX1H~withdrawn	
MIR3690-2~withdrawn	
OR5B16~withdrawn	
NBCCS~withdrawn	
OR7E112P~withdrawn	
BBS6~withdrawn	
VARS1~withdrawn	
MIR1254-1~withdrawn	
RP20~withdrawn	
IGHDY2~withdrawn	
MRXS5~withdrawn	
TRP-AGG3-1	
RMRPP1~withdrawn	
DFNB13	
CAMKA~withdrawn	
TRG-GCC2-5	
NANTA3~withdrawn	
RPL21P83	
FEB6	
SNORD143	
ADAD1P1	
VN1R39P	
PENT~withdrawn	
CCDC150P1	
RNA28S3	
TRC-GCA14-1	
RNU7-72P	
OR5D3~withdrawn	
TRA-TGC6-1	
HMGN1P27	
RPS14P6	
DFNA31	
RPS2P50	
ZWS1~withdrawn	
RNA28S4	
DUX4L48	
LLCDL1~withdrawn	
C9orf99~withdrawn	
FAM74A5~withdrawn	
MER5	
LGMD2G~withdrawn	
CHR39A~withdrawn	
MSK41~withdrawn	
MYP8	
STX2A~withdrawn	
ZNF120~withdrawn	
MIR4419B~withdrawn	
DYX1	
HNRPG~withdrawn	
FGF12B~withdrawn	
PYHG2~withdrawn	
ERVFH21-1	
MAM~withdrawn	
MRX52~withdrawn	
TRK-TTT3-1	
RNU7-178P~withdrawn	
CDL2	
SNORA119	
LINC02491	
TRN-GTT2-4	
SCAX4	
CDH21~withdrawn	
SCARNA26B	
VN1R59P	
PI6~withdrawn	
RNN~withdrawn	
RPL34P35	
PFIC2~withdrawn	
IGHV3OR16-14	
RPLP0P10	
TRE-CTC13-1	
TRI-AAT8-1	
TRL-TAG4-1	
RPL26P11	
RPL18P3	
PIRC90	
KRAG~withdrawn	
PTK1~withdrawn	
GOLGA6L20~withdrawn	
HCG16~withdrawn	
RP7~withdrawn	
RPLP1L2~withdrawn	
PCANAP5~withdrawn	
FAM231D~withdrawn	
FARP1-IT1~withdrawn	
HRP1~withdrawn	
ATN1L~withdrawn	
CRYGP1~withdrawn	
NRAMP1~withdrawn	
ERVK-24	
MLS~withdrawn	
RN7SL347P~withdrawn	
TAPVR1	
RPL35AP5	
DINB1~withdrawn	
ASLN~withdrawn	
SNORA98	
RPL21P87	
RPL39P35	
RDXP2	
MAP3K2-DT	
TRE-CTC9-1	
RPL31P39	
TRK-TTT10-1	
F8VWF~withdrawn	
PIRC50	
NTRK4~withdrawn	
ENO1-IT1	
PHF4~withdrawn	
FKBP4P3~withdrawn	
MIR9718	
PALS~withdrawn	
RP31~withdrawn	
ARCN2~withdrawn	
PCDHACT	
EPT~withdrawn	
ZNF111~withdrawn	
OBSCN-IT2~withdrawn	
PTPN17~withdrawn	
C21orf115~withdrawn	
ODG1~withdrawn	
RN7SL537P~withdrawn	
IDDM11	
LGMD2A~withdrawn	
NCAD~withdrawn	
TRP-AGG2-4	
RPS26P36	
DFNY1	
SNORA105C	
TRC-GCA9-2	
SNT2B2~withdrawn	
ATA~withdrawn	
RPL13P7	
SNORD76	
TRI-AAT7-1	
NPM1P3	
TRP-AGG4-1	
MTCO1P50	
IP1~withdrawn	
DDIT1~withdrawn	
PIRC26	
C20orf124~withdrawn	
STNL~withdrawn	
RNU6-292P~withdrawn	
MIR10226	
DPDE4~withdrawn	
CYP21~withdrawn	
GLIF~withdrawn	
PUAB5~withdrawn	
TCRBV11O~withdrawn	
RP21~withdrawn	
TRBV7-8	
CRG~withdrawn	
RN7SL133P~withdrawn	
PTOS1	
ANKRD33B-IT1~withdrawn	
PABPL3~withdrawn	
OR7C4~withdrawn	
NPMP7~withdrawn	
RPL17P16	
MTCO1P37	
STK6~withdrawn	
BRI3P2	
TRY-GTA3-1	
PRAMEF21~withdrawn	
DNM1P26	
NEDD3~withdrawn	
CXorf3~withdrawn	
PIRC77	
C20orf193~withdrawn	
CMAR~withdrawn	
SEDC~withdrawn	
RPL38P2	
MIR12117	
FAM27E1~withdrawn	
PCDHG@	
SDF1B~withdrawn	
ZNF153~withdrawn	
TCRA~withdrawn	
CABP3~withdrawn	
CLTC-IT1~withdrawn	
NPHL1~withdrawn	
DNM1DN23~withdrawn	
RN7SL777P~withdrawn	
CMD1B	
PSPC1-AS1~withdrawn	
TRR-CCT3-1	
IMD5~withdrawn	
SPATA31A2~withdrawn	
PRDX4P2	
PSBP1	
MRPL57P9	
MRPS17P7	
C20orf38~withdrawn	
PARK1~withdrawn	
TPM3P5	
TRV-CAC9-1	
SC~withdrawn	
HCG13P	
KRTAP4-10~withdrawn	
GVQW1	
PMS2L6~withdrawn	
MIR12118	
MIR7112-2~withdrawn	
SCZD10	
GLUR5~withdrawn	
MRX55~withdrawn	
LYST2~withdrawn	
TCRGJ1~withdrawn	
TRC-GCA7-1	
HMGB1L15~withdrawn	
STARD10-AS1~withdrawn	
ESRL2~withdrawn	
FIM3~withdrawn	
RN7SL10P~withdrawn	
DFNB20	
CDKN1~withdrawn	
FILIP1LP1~withdrawn	
DFNA32	
LINC01147	
RPL27AP7	
RNY4P26	
CAGA~withdrawn	
DFNB83	
MRX13~withdrawn	
ANKRD20A15P	
RBMY2VP	
NMTRQ-TTG3-1	
VN2R14P	
PSORS4	
TTTY31P	
RPS26P10	
CNRS4~withdrawn	
SNAR-A3	
ZNF78L1~withdrawn	
SCAR5~withdrawn	
MTOHR	
MDF2~withdrawn	
CDAN2~withdrawn	
C9orf63~withdrawn	
IBD4	
EIF5AP1~withdrawn	
TRNAK25~withdrawn	
PINX1	
DNECL~withdrawn	
DNM1DN21~withdrawn	
RN7SL779P~withdrawn	
NYS3	
RN7SL859P~withdrawn	
DYX4	
MRX71	
LINC00506	
RPL35AP17	
SYR~withdrawn	
PPD~withdrawn	
CKS1BP4	
UBA52P4	
GLCLR~withdrawn	
RRAGAP1	
SNORD38B	
BPES3~withdrawn	
WFS2~withdrawn	
TRL-CAA1-2	
RPL15P7	
EKV~withdrawn	
VN2R16P	
PIRC29	
OR3A7~withdrawn	
PPIHP2	
SNAR-H	
DYRK1AIP3~withdrawn	
MYETS1~withdrawn	
FAM4A1~withdrawn	
HTOR	
PRR8~withdrawn	
LGMD1D~withdrawn	
OR2K1~withdrawn	
CORD8	
KIR2DL5B	
CTSLP7~withdrawn	
C11orf62~withdrawn	
FRA3C	
PND~withdrawn	
CNTNAP3P6	
PYHG17~withdrawn	
RN7SL59P~withdrawn	
MCKD2	
MTACR1~withdrawn	
MYCP~withdrawn	
LCS1	
RNR5	
OR5D1P~withdrawn	
RPS12P6	
ATP6N2~withdrawn	
MTND5P38	
INPP3~withdrawn	
TRUND-NNN10-1	
DFNB80	
SDIM1	
KRTAP5-13P	
TRA-TGC8-1	
TRG-GCC2-6	
RPS14P3	
CGM13~withdrawn	
TRU-TCA2-1	
OR10A1~withdrawn	
TRF-GAA10-1	
HOX3A~withdrawn	
CXYorf12~withdrawn	
C9orf35~withdrawn	
TPS2~withdrawn	
COL1AR	
HLA-DZA~withdrawn	
AMCD1~withdrawn	
NEFLL1~withdrawn	
RBM22P8~withdrawn	
LINC00914~withdrawn	
FRA6B	
OR55C1P~withdrawn	
FRV3~withdrawn	
RN7SKP41~withdrawn	
MRT9	
RPS15P3~withdrawn	
PDB5	
C21orf3~withdrawn	
IBP1~withdrawn	
PPP5~withdrawn	
SDHDP3	
RPS16P6	
CTPL1	
HSPA8P12	
RPS15AP33	
CORD9~withdrawn	
RPL29P4	
TRD-GTC2-7	
SCIDX1~withdrawn	
SPRNP1	
RPL27P6	
RPL7AP43	
SNX18P22	
CYP17A1-AS1	
CIDX~withdrawn	
SNORD146	
MTND4P41	
PLANH2~withdrawn	
ZNF178~withdrawn	
DOC2BL~withdrawn	
PRSM2	
AGTIL~withdrawn	
SCKL2~withdrawn	
HMAA~withdrawn	
RNU7-132P~withdrawn	
C14orf16~withdrawn	
FRA7I	
OR7E132P~withdrawn	
TCF14~withdrawn	
ZNF242~withdrawn	
RN7SL436P~withdrawn	
MRT24	
IFNP24~withdrawn	
MRX81	
CDC27P7	
RNE3~withdrawn	
FRA12D	
LINC02644	
IBM3~withdrawn	
P2RY10P1	
ZNF270~withdrawn	
DNCL~withdrawn	
VN1R15P	
SUCLG2P1	
CGM11~withdrawn	
HTRL~withdrawn	
ANX4~withdrawn	
STOT~withdrawn	
LENG3~withdrawn	
DCR	
GLUT4~withdrawn	
CMD1G~withdrawn	
IGKVOR2@~withdrawn	
RN7SL694P~withdrawn	
UGT2B@~withdrawn	
FRA16E	
OR51A11P~withdrawn	
C21orf40~withdrawn	
HDLCQ1	
HCG2P2~withdrawn	
EBM	
HLA-DRB3	
ZNF91L~withdrawn	
LINC02619	
GLVR1~withdrawn	
PCAP	
SCARNA4	
TRA-TGC4-1	
RNU7-32P	
HCG4P4	
CAE1~withdrawn	
SEPT14P23	
RNU1-152P	
ENT1~withdrawn	
RPL21P14	
CLUHP7	
RPL21P52	
RNY5	
EBI1~withdrawn	
MIR378D2HG	
UBL2~withdrawn	
HRMT1L5~withdrawn	
OR2I2~withdrawn	
SAA@	
RNS4~withdrawn	
RP26~withdrawn	
HMI~withdrawn	
SNORD165	
HPRTP4~withdrawn	
DEFT2P~withdrawn	
OR10AE2P~withdrawn	
MSK1~withdrawn	
RNU6-981P~withdrawn	
TYS	
TSHRL1	
AIS2	
VGL~withdrawn	
ALS1~withdrawn	
GLVR2~withdrawn	
TRL-AAG1-1	
MTCYBP30	
TRR-TCT5-1	
RPL7AP63	
SUSD2P1	
FRA18C	
ELF2P4	
RP10~withdrawn	
RPL27P8	
SNX2P1	
CHAER1	
TRBF1~withdrawn	
OR2AK1P~withdrawn	
C9orf151~withdrawn	
MMEL2~withdrawn	
TCF13~withdrawn	
ERVW-19	
HTT~withdrawn	
MRX87~withdrawn	
C17orf14~withdrawn	
TRA-CGC3-1	
TRR-TCT2-1	
AZF2~withdrawn	
IGO1~withdrawn	
ERVH-10	
RPS20P19	
GGTL1~withdrawn	
NKG2~withdrawn	
RNU6-404P~withdrawn	
ST2	
OR2L12~withdrawn	
C10orf12~withdrawn	
SPG27	
NEM2~withdrawn	
CNTNAP3P4	
RPS20P17	
SNRPCP7	
CMT1B~withdrawn	
TRG-GCC2-1	
MTCO3P32	
PPIAP61	
TRL-TAG3-1	
RPL28P1	
SFTPJ~withdrawn	
PPP1R14BP4	
MTCO3P26	
RPS24P11	
RNA45S3	
BCNG1~withdrawn	
MLL3P~withdrawn	
RNU1~withdrawn	
ANIB2	
USP6NL-IT1~withdrawn	
C18orf50~withdrawn	
ANT3~withdrawn	
C14orf184~withdrawn	
RNU6-350P~withdrawn	
SCZD4	
OR52J4P~withdrawn	
RMSA1~withdrawn	
IGHV3-30-5	
CTM~withdrawn	
TRG-GCC1-5	
RNU6-569P~withdrawn	
GOX1~withdrawn	
MRX5	
SNORA116	
C1orf3~withdrawn	
GPR36	
SNRPBL1~withdrawn	
RPL21P48	
OR51A12~withdrawn	
PSORS10	
RNA45SN1	
LSM3P1	
MRX72~withdrawn	
PSMC6P2	
PHTF~withdrawn	
SNORA17B	
TRF-GAA1-3	
TRC-GCA2-2	
RPS15P6	
RPLP1P4	
HMGB3P28	
SALL4P4	
EEK~withdrawn	
TNFSF5~withdrawn	
MTCO1P34	
BCUR1~withdrawn	
HOX2A~withdrawn	
MIR1201~withdrawn	
OR9G5~withdrawn	
CD20L~withdrawn	
FAM7B1~withdrawn	
LINC00344~withdrawn	
OR7E113P~withdrawn	
CNRS1~withdrawn	
CYP2A~withdrawn	
MIR1274B~withdrawn	
ARA~withdrawn	
OR7A20P~withdrawn	
IGHV2@~withdrawn	
FDX2~withdrawn	
RNU7-191P~withdrawn	
PRKACN1~withdrawn	
SYM2	
DFNB14	
DRT~withdrawn	
RPL21P84	
FEB5	
CYP2C63P	
RPL39P7	
RPS18P2	
UBE3AP1	
SRSF10P2	
RPS6P1	
TRW-CCA3-1	
TUSC2P1	
TRP-TGG3-2	
BCYRN1P3	
HOX2G~withdrawn	
VN1R101P	
RNA18S4	
LLCDL2~withdrawn	
ZNF505~withdrawn	
LINC00341~withdrawn	
LMN1~withdrawn	
AUXN~withdrawn	
PDNP3~withdrawn	
MANB~withdrawn	
STX2B~withdrawn	
ZNF53A~withdrawn	
MIR4532~withdrawn	
CD33L1~withdrawn	
OR7E144P~withdrawn	
PYHG21~withdrawn	
ERVE-4	
IMD1~withdrawn	
RNU7-184P~withdrawn	
CTD	
TRT-CGT1-1	
TRL-CAA7-1	
C21orf107~withdrawn	
PARK11	
DMGDHL1~withdrawn	
VN1R60P	
LINC00999	
KNPEP~withdrawn	
RPL34P30	
ASDURF	
VN1R98P	
MARK2P7	
IGKV2OR2-4	
TRV-CAC14-1	
LCEP3	
TRR-ACG2-1	
DUX4L43	
RPL24P6	
TRR-CCT7-1	
LINC01279	
RPL23P9	
FAM91A4P	
LINC01377	
PIRC94	
IFI53~withdrawn	
ARH12~withdrawn	
C10orf124~withdrawn	
OR5D11P~withdrawn	
ANCR	
AE1~withdrawn	
ZNF359~withdrawn	
ERVK2~withdrawn	
CA5~withdrawn	
SMCR3~withdrawn	
KCNQ5-AS2~withdrawn	
G6PT~withdrawn	
CRYGP2~withdrawn	
ERVK-19	
C2orf20~withdrawn	
TRQ-CTG8-2	
RN7SL324P~withdrawn	
IDDM3	
CAMKD~withdrawn	
RPL39P14	
WASHC2D	
CPETR2~withdrawn	
SNORA99	
VN1R86P	
DNM1P29	
C1NH~withdrawn	
FAM226A	
TRQ-TTG9-1	
TRA-AGC20-1	
RPL21P36	
NUDT15P2	
MIR12136	
TRP-TGG4-1	
PRKRAP1	
TXNRD3NB	
ZNF838~withdrawn	
BTN~withdrawn	
PIRC54	
BRI3P3	
PTK3A~withdrawn	
PCANAP8~withdrawn	
OR5BG1P~withdrawn	
MIR9898	
PWCR1~withdrawn	
INSAF~withdrawn	
GPR69B~withdrawn	
DFNB3~withdrawn	
EPLG7~withdrawn	
ZNF113~withdrawn	
OBSCN-IT1~withdrawn	
OR4D3~withdrawn	
TRV-CAC11-1	
CATHL1L~withdrawn	
INT4~withdrawn	
CALNA~withdrawn	
RN7SL540P~withdrawn	
RIEG2	
CCV	
THAS	
SPG32	
SYB1~withdrawn	
SNORA107	
RPL18P5	
RNY4P8	
TRC-GCA2-4	
RPS10P25	
DNM1P44	
PI13~withdrawn	
SNORD77	
TRG-TCC2-3	
RPL18AP13	
AIED~withdrawn	
TRQ-CTG9-1	
RPL13P13	
TRE-TTC12-1	
RP11~withdrawn	
PIRC30	
C20orf148~withdrawn	
MLK2~withdrawn	
ARF2~withdrawn	
ZNF315P~withdrawn	
MIR10393	
NHE2~withdrawn	
PVS~withdrawn	
FAM85A	
EIF4C~withdrawn	
IGLJ@~withdrawn	
GAGE8	
RNU3A3~withdrawn	
ERVW-13	
PRTH~withdrawn	
OR1E8P~withdrawn	
RN7SL613P~withdrawn	
PPT~withdrawn	
SEN2	
DMD-AS2~withdrawn	
NPAP60L~withdrawn	
SCC~withdrawn	
ATHS	
PER~withdrawn	
RPL26P18	
MYH5~withdrawn	
PSMC6P3	
RPS20P34	
BAGE3	
RPL39P12	
RNU6-443P	
FTLP7	
CBP2~withdrawn	
RPL7AP36	
DNM1P27	
RNU7-89P	
RNU5C~withdrawn	
PIRC78	
FECD~withdrawn	
CAPL~withdrawn	
MIR12119	
SCA31~withdrawn	
FRA11F	
FACD~withdrawn	
CDRT3	
CD28LG2~withdrawn	
ZNF156~withdrawn	
TCRGC1~withdrawn	
OR3A4~withdrawn	
NICN1-AS1~withdrawn	
PUMB1~withdrawn	
ERVK9-4	
DYT4~withdrawn	
CABLES1L~withdrawn	
RN7SL768P~withdrawn	
IDDM16	
DYRK1~withdrawn	
RN7SL593P~withdrawn	
MGDF~withdrawn	
RPL19P17	
LAD~withdrawn	
ATPL~withdrawn	
RPL36P5	
LINC01590	
TAF3A~withdrawn	
PSME2P1	
PIRC18	
TRV-TAC1-2	
LAMB2P1	
RPL7AP39	
PPH1~withdrawn	
RPL39P20	
CMD1~withdrawn	
PIRC114	
GLUR2~withdrawn	
OR8U8	
MIR12127	
MIR6077-2~withdrawn	
TAS2R33	
C6orf114~withdrawn	
MRX38~withdrawn	
PCH1~withdrawn	
TCRGJ2~withdrawn	
KRTAP19P4~withdrawn	
DMD-AS1~withdrawn	
GDNFRA~withdrawn	
TRS-AGA2-3	
ZNF246~withdrawn	
RN7SL99P~withdrawn	
GLC1D	
ZNF604P~withdrawn	
DFNA33	
LINC00706	
USP32P4	
DFNB1~withdrawn	
BNIP3P14	
RPL34P9	
STK14A~withdrawn	
RPL10AP13	
MAD2L1P1	
PSMC6P1	
RPL10AP11	
CLG~withdrawn	
OR4Q4~withdrawn	
TRI-AAT3-1	
SOAT~withdrawn	
CDKN1A-AS1	
TNFSF3L~withdrawn	
PI~withdrawn	
ENO1L1~withdrawn	
PIRC59	
LINC02665	
CNRS5~withdrawn	
SNAR-A5	
GCSL~withdrawn	
MYMY2~withdrawn	
MTOLR	
MSK12~withdrawn	
CLN7~withdrawn	
C19orf31~withdrawn	
TCRGV11~withdrawn	
DUSP8P3~withdrawn	
TRNAN31~withdrawn	
FRA1I	
FSGS2~withdrawn	
OR7E72P~withdrawn	
TRS-AGA2-5	
KRT16L2~withdrawn	
RMRPP2~withdrawn	
IBD2	
FAM239C	
RN7SL773P~withdrawn	
FEB4	
TRP-TGG3-5	
TRSUP-TTA2-1	
LINCADL	
AHCYP6	
DNMT3AP1	
DERPC	
C20orf158~withdrawn	
FTLP9	
TRIM60P6Y	
MELL1~withdrawn	
HOX3G~withdrawn	
TRK-TTT5-1	
HNRNPA1P75	
KSS	
RPL36AP30	
KIR2DS5	
DFNA53	
CMH3~withdrawn	
PIRC36	
VN2R2P	
OR4H3P~withdrawn	
FKHRP1~withdrawn	
OR2AR1P~withdrawn	
BORJ~withdrawn	
DNAH12L~withdrawn	
MDR1~withdrawn	
IFNR	
SNORD119	
GP2B~withdrawn	
SPG9~withdrawn	
HAO3~withdrawn	
TCRGV5P~withdrawn	
GOLGA6L19	
RPL29P10~withdrawn	
OPA7~withdrawn	
NRAMP2~withdrawn	
COPD~withdrawn	
OR1F13P~withdrawn	
MSK13~withdrawn	
RN7SL528P~withdrawn	
CFM1	
RNU7-198P~withdrawn	
SPG16	
VN1R102P	
RPS12P7	
IGHV4-38-2	
TRG-CCC8-1	
MRPL36P1	
PCLD~withdrawn	
OR11J1P	
TRF-GAA1-5	
TRS-TGA4-1	
